Title,Date,Category,Lead Paragraph,URL
A DNA Mix-Up Involving a Washing Machine Kept a Man in Jail for 3 Years,2h ago,U.S.,"The Louisiana case highlights how prosecutors and crime labs withhold key documents from defense lawyers, keeping some defendants in custody for months or years.",https://www.nytimes.com/2020/06/26/us/louisiana-dna-washing-machine.html?searchResultPosition=1
The Radical Quilting of Rosie Lee Tompkins,3h ago,ART & DESIGN,"A triumphal retrospective at the Berkeley Art Museum confirms her standing as one of the great American artists — transcending craft, challenging painting and reshaping the canon.",https://www.nytimes.com/interactive/2020/06/26/arts/design/rosie-lee-tompkins-quilts.html?searchResultPosition=2
Wirecard Goes Bust as Scandal Puts Focus on German Oversight,June 25,BUSINESS,"An accounting scandal at one of Germany’s fastest-growing blue-chip companies has raised doubts about the national financial watchdog and, coming on top of other high-profile cases of fraud, led to questions about the country’s ability to oversee its corporate titans.",https://www.nytimes.com/aponline/2020/06/25/business/bc-eu-germany-accounting-scandal.html?searchResultPosition=3
Wirecard Scandal Puts Spotlight on German Company Regulation,June 24,BUSINESS,"An accounting scandal at one of Germany’s fastest-growing blue-chip companies has raised doubts about the national financial watchdog and, coming on top of other high-profile cases of fraud, led to questions about the country’s ability to oversee its corporate titans.",https://www.nytimes.com/aponline/2020/06/24/business/bc-eu-germany-accounting-scandal.html?searchResultPosition=4
Why Do We Pay So Many People So Little Money?,June 24,OPINION,The coronavirus pandemic is forcing America to confront its epidemic low-wage problem.,https://www.nytimes.com/2020/06/24/opinion/wages-coronavirus.html?searchResultPosition=5
"AI Chatbot Firm Rasa Raises Funding From Andreessen Horowitz, Accel",June 23,TECHNOLOGY,"Rasa, a small artificial intelligence-backed chatbot company, said on Tuesday it had raised $26 million from investors such as Andreessen Horowitz and Accel Partners to fund more machine learning research and to add more products.",https://www.nytimes.com/reuters/2020/06/23/technology/23reuters-rasa-funding.html?searchResultPosition=6
Trump Didn’t ‘Send In the Troops.’ They Were Already There.,June 23,MAGAZINE,"Police officers today can turn out with more weaponry than I had in 1992, as a Marine deployed to a burning Los Angeles. What does it mean to project this much force at home?",https://www.nytimes.com/2020/06/23/magazine/la-riots-1992.html?searchResultPosition=7
Fitting a Family of Five Into a One-Bedroom in Brooklyn,June 22,REAL ESTATE,It was already challenging before the pandemic. Then the stay-at-home order made it more complicated.,https://www.nytimes.com/2020/06/22/realestate/fitting-a-family-of-five-into-a-one-bedroom-in-brooklyn.html?searchResultPosition=8
"Political Grip Shaky, Belarus Leader Blames Longtime Ally: Russia",June 22,EUROPE,"Aleksandr G. Lukashenko, who used to call his political foes stooges of the West, is now trying to play on anti-Russian sentiment at home and abroad.",https://www.nytimes.com/2020/06/22/world/europe/belarus-lukashenko-russia.html?searchResultPosition=9
8 Hospitals in 15 Hours: A Pregnant Woman’s Crisis in the Pandemic,June 21,ASIA PACIFIC,"Her baby was coming, and her complications were growing more dangerous. But nowhere would take her — an increasingly common story as India’s health care system buckles under pressure.",https://www.nytimes.com/2020/06/21/world/asia/coronavirus-india-hospitals-pregnant.html?searchResultPosition=10
Trump’s ‘What Do You Have to Lose?’ Presidency Is Rallying Again,June 20,POLITICS,"As an encapsulation of the president’s worldview, some former associates say, there is perhaps no beating the text of a campaign waiver: “guests voluntarily assume all risks.”",https://www.nytimes.com/2020/06/20/us/politics/trump-campaign-rally-tulsa.html?searchResultPosition=11
Here’s What Companies Are Promising to Do to Fight Racism,June 19,BUSINESS,"Corporate America has pledged millions to social justice efforts since the killing of George Floyd. But some businesses have gone further, committing to concrete changes in their practices.",https://www.nytimes.com/article/companies-racism-george-floyd-protests.html?searchResultPosition=12
DACA Lives On,June 19,BRIEFING,And what else you need to know today.,https://www.nytimes.com/2020/06/19/briefing/dreamers-tulsa-juneteenth-your-friday-briefing.html?searchResultPosition=13
Japan's Fujitsu Brings Hand Washing AI to COVID-19 Fight,June 19,TECHNOLOGY,"Three months after the World Health Organization recommended singing ""Happy Birthday"" twice during hand washing to fight the coronavirus, Japan's Fujitsu Ltd has developed an artificial intelligence monitor it says will ensure healthcare, hotel and food industry workers scrub properly.",https://www.nytimes.com/reuters/2020/06/19/technology/19reuters-health-coronavirus-japan-ai-technology.html?searchResultPosition=14
So You’re Thinking About Riding a Bike,June 18,STYLE,"These days, with limits on public transportation and daily protests, cyclists dominate cities around the country. Here’s how to become one.",https://www.nytimes.com/2020/06/18/style/bike-buying-commute-exercise-questions.html?searchResultPosition=15
Trump Superfans Line Up Early for Tulsa Rally,June 18,WORLD,"Global cases are surging, with two days of record highs. California’s governor ordered people to wear masks in most indoor settings. Japan’s prime minister lifted a virus-related domestic travel ban.",https://www.nytimes.com/2020/06/18/world/coronavirus-cases-usa-world.html?searchResultPosition=16
China Pledges Continued Economic Support but Warns of Liquidity Hangover,June 18,ASIA PACIFIC,"China will maintain ample financial system liquidity in the second half of the year as the economy recovers from the coronavirus but will need to consider withdrawing that support at some point, its central bank governor warned on Thursday.",https://www.nytimes.com/reuters/2020/06/18/world/asia/18reuters-china-pboc-governor.html?searchResultPosition=17
Collar the Cat!,June 17,THE LEARNING NETWORK,"This essay, by Abel John, is one of the top 9 winners in the high school category of our Seventh Annual Student Editorial Contest for which we received 6,076 entries.",https://www.nytimes.com/2020/06/17/learning/collar-the-cat.html?searchResultPosition=18
Runners-Up From Our 7th Annual Student Editorial Contest,June 17,THE LEARNING NETWORK,"The 2020 election, animal rights, health care, theater and librarians: 21 teenage runners-up take on the issues that matter most to them.",https://www.nytimes.com/2020/06/17/learning/runners-up-from-our-7th-annual-student-editorial-contest.html?searchResultPosition=19
Our Lives Happen in Restaurants,June 16,FOOD,"Renowned writers remember some of their funniest, best, strangest and most memorable meals out.",https://www.nytimes.com/interactive/2020/06/16/dining/restaurant-closings-memories-coronavirus.html?searchResultPosition=20
"Casinos, Airlines, Seek Return to Normality",June 16,BUSINESS,"The outbreak of the coronavirus has dealt a shock to the global economy with unprecedented speed. Following are developments Tuesday related to the national and global response, the work place and the spread of the virus.",https://www.nytimes.com/aponline/2020/06/16/business/ap-virus-outbreak-business-fallout.html?searchResultPosition=21
Cheap Drug Is First Shown to Improve COVID-19 Survival,June 16,HEALTH,"Researchers in England say they have the first evidence that a drug can improve COVID-19 survival: A cheap, widely available steroid reduced deaths by up to one third in severely ill hospitalized patients.",https://www.nytimes.com/aponline/2020/06/16/health/ap-us-med-virus-outbreak-treatment.html?searchResultPosition=22
Riding Out Quarantine With a Chatbot Friend: ‘I Feel Very Connected’,June 16,TECHNOLOGY,"The digital companions may sound like science fiction. But when social isolation became the norm, they helped deal with the loneliness, some users say.",https://www.nytimes.com/2020/06/16/technology/chatbots-quarantine-coronavirus.html?searchResultPosition=23
Who’s a Bot? Who’s Not?,June 16,SCIENCE,It sometimes seems that automated bots are taking over social media and driving human discourse. But some (real) researchers aren’t so sure.,https://www.nytimes.com/2020/06/16/science/social-media-bots-kazemi.html?searchResultPosition=24
The Artist’s Caretaker: Once He Controlled Everything. No More.,June 14,ARTS,"When Robert Indiana died, the man who had directed his affairs was supposed to help run the artist’s foundation and its new museum. Those plans have changed.",https://www.nytimes.com/2020/06/14/arts/robert-indiana-caretaker.html?searchResultPosition=25
We Went Inside a Sports ‘Bubble.’ Here’s What We Saw.,June 14,SPORTS,Boxers wearing surgical booties. Wristbands with bar codes. Meals served behind plexiglass. Our journalists took a look behind the scenes of boxing’s comeback in Las Vegas.,https://www.nytimes.com/2020/06/14/sports/coronavirus-las-vegas-boxing.html?searchResultPosition=26
A Date to Remember,June 12,LOVE,"Sam Thirlwall and Caitlin Halla met at work and felt an instant connection. Slack messages became text messages became long emails, and then a first date.",https://www.nytimes.com/2020/06/12/fashion/weddings/a-date-to-remember.html?searchResultPosition=27
Georgia Havoc Raises New Doubts on Pricey Voting Machines,June 11,POLITICS,"Long before this week’s election chaos, experts had warned Georgia about its over $100 million voting system, saying paper ballots were simpler and safer.",https://www.nytimes.com/2020/06/11/us/politics/georgia-voting-machines.html?searchResultPosition=28
"The Swinging, Jamming Musical Charms of 1940s Soundies",June 11,MOVIES,Once upon a time you could drop a dime in a movie jukebox to hear — and watch — musical greats like Duke Ellington and Gene Krupa.,https://www.nytimes.com/2020/06/11/movies/soundies-duke-ellington.html?searchResultPosition=29
"Covid-19 Patient Gets Double Lung Transplant, Offering Hope for Others",June 11,HEALTH,"The operation is believed to be the first of its kind in the U.S. The patient, a woman in her 20s, had been healthy, but the coronavirus devastated her lungs.",https://www.nytimes.com/2020/06/11/health/coronavirus-lung-transplant.html?searchResultPosition=30
"Georgia’s Election Mess: Many Problems, Plenty of Blame, Few Solutions for November",June 10,POLITICS,"Tuesday’s disastrous primary election was plagued by glitches, but Democrats also saw a systemic effort to disenfranchise voters.",https://www.nytimes.com/2020/06/10/us/politics/georgia-primary-election-voting.html?searchResultPosition=31
What Are Fintechs and How Can They Help Small Business?,June 10,ECONOMY,"Online financial service companies are filling a gap, especially as companies have altered how they work.",https://www.nytimes.com/2020/06/10/business/economy/fintechs-loan-small-business.html?searchResultPosition=32
"Let’s Change Our Motto to ‘Out of Many, We’",June 9,OPINION,"It is heading toward “Out of Many, None,” and I fear it becoming “Out of Many, Me.”",https://www.nytimes.com/2020/06/09/opinion/trump-united-states.html?searchResultPosition=33
‘I Refuse Not to Be Heard’: Georgia in Uproar Over Voting Meltdown,June 9,POLITICS,"Long lines and malfunctioning voting machines marred statewide primary elections in Georgia, renewing attention on voting rights there.",https://www.nytimes.com/2020/06/09/us/politics/atlanta-voting-georgia-primary.html?searchResultPosition=34
Major Problems With Voting in Atlanta as 5 States Hold Primaries,June 9,POLITICS,"Some voting machines were not working as polls opened, and voters across Georgia reported long lines and widespread frustration. Nevada, North Dakota, South Carolina and West Virginia are also voting today.",https://www.nytimes.com/2020/06/09/us/politics/georgia-primary-voting-atlanta.html?searchResultPosition=35
Surging Coronavirus Cases Push Latin America ‘to the Limit’,June 9,WORLD,"The U.S. caseload, already the world’s highest, is approaching two million. A book about the fall of France in 1940 has become a hit during the pandemic.",https://www.nytimes.com/2020/06/09/world/coronavirus-us-usa.html?searchResultPosition=36
"Senate Moves Toward Preserving Public Lands, and Political Careers",June 8,POLITICS,"Despite some resistance within their ranks, Republicans are pushing a popular public lands bill that could help endangered colleagues, with an eye toward protecting their majority in November.",https://www.nytimes.com/2020/06/08/us/politics/senate-public-lands.html?searchResultPosition=37
Global Coronavirus Caseload Passes 7 Million,June 8,WORLD,"The W.H.O. warned that the pandemic appeared to be worsening, and said that asymptomatic transmission was not a significant factor in how the virus spreads. China is using Twitter to drown out criticism during the pandemic.",https://www.nytimes.com/2020/06/08/world/coronavirus-live-updates.html?searchResultPosition=38
Returning to Work on the Subway? Here’s What You Need to Know,June 8,NEW YORK,"As riders prepare to start riding the trains again during New York City’s initial reopening, the safety of public transit is a big question.",https://www.nytimes.com/2020/06/08/nyregion/mta-subway-riding-health-coronavirus.html?searchResultPosition=39
Don’t Lose the Thread. The Economy Is Experiencing an Epic Collapse of Demand.,June 6,THE UPSHOT,"A rip in the fabric of the economy won’t be healed easily, and denial of the severity of the crisis won’t solve it.",https://www.nytimes.com/2020/06/06/upshot/coronavirus-economic-crisis.html?searchResultPosition=40
"Georgia’s Election Mess: Many Problems, Plenty of Blame, Few Solutions for November",June 10,POLITICS,"Tuesday’s disastrous primary election was plagued by glitches, but Democrats also saw a systemic effort to disenfranchise voters.",https://www.nytimes.com/2020/06/10/us/politics/georgia-primary-election-voting.html?searchResultPosition=41
What Are Fintechs and How Can They Help Small Business?,June 10,ECONOMY,"Online financial service companies are filling a gap, especially as companies have altered how they work.",https://www.nytimes.com/2020/06/10/business/economy/fintechs-loan-small-business.html?searchResultPosition=42
"Let’s Change Our Motto to ‘Out of Many, We’",June 9,OPINION,"It is heading toward “Out of Many, None,” and I fear it becoming “Out of Many, Me.”",https://www.nytimes.com/2020/06/09/opinion/trump-united-states.html?searchResultPosition=43
‘I Refuse Not to Be Heard’: Georgia in Uproar Over Voting Meltdown,June 9,POLITICS,"Long lines and malfunctioning voting machines marred statewide primary elections in Georgia, renewing attention on voting rights there.",https://www.nytimes.com/2020/06/09/us/politics/atlanta-voting-georgia-primary.html?searchResultPosition=44
Major Problems With Voting in Atlanta as 5 States Hold Primaries,June 9,POLITICS,"Some voting machines were not working as polls opened, and voters across Georgia reported long lines and widespread frustration. Nevada, North Dakota, South Carolina and West Virginia are also voting today.",https://www.nytimes.com/2020/06/09/us/politics/georgia-primary-voting-atlanta.html?searchResultPosition=45
Surging Coronavirus Cases Push Latin America ‘to the Limit’,June 9,WORLD,"The U.S. caseload, already the world’s highest, is approaching two million. A book about the fall of France in 1940 has become a hit during the pandemic.",https://www.nytimes.com/2020/06/09/world/coronavirus-us-usa.html?searchResultPosition=46
"Senate Moves Toward Preserving Public Lands, and Political Careers",June 8,POLITICS,"Despite some resistance within their ranks, Republicans are pushing a popular public lands bill that could help endangered colleagues, with an eye toward protecting their majority in November.",https://www.nytimes.com/2020/06/08/us/politics/senate-public-lands.html?searchResultPosition=47
Global Coronavirus Caseload Passes 7 Million,June 8,WORLD,"The W.H.O. warned that the pandemic appeared to be worsening, and said that asymptomatic transmission was not a significant factor in how the virus spreads. China is using Twitter to drown out criticism during the pandemic.",https://www.nytimes.com/2020/06/08/world/coronavirus-live-updates.html?searchResultPosition=48
Returning to Work on the Subway? Here’s What You Need to Know,June 8,NEW YORK,"As riders prepare to start riding the trains again during New York City’s initial reopening, the safety of public transit is a big question.",https://www.nytimes.com/2020/06/08/nyregion/mta-subway-riding-health-coronavirus.html?searchResultPosition=49
Don’t Lose the Thread. The Economy Is Experiencing an Epic Collapse of Demand.,June 6,THE UPSHOT,"A rip in the fabric of the economy won’t be healed easily, and denial of the severity of the crisis won’t solve it.",https://www.nytimes.com/2020/06/06/upshot/coronavirus-economic-crisis.html?searchResultPosition=50
"Georgia’s Election Mess: Many Problems, Plenty of Blame, Few Solutions for November",June 10,POLITICS,"Tuesday’s disastrous primary election was plagued by glitches, but Democrats also saw a systemic effort to disenfranchise voters.",https://www.nytimes.com/2020/06/10/us/politics/georgia-primary-election-voting.html?searchResultPosition=51
What Are Fintechs and How Can They Help Small Business?,June 10,ECONOMY,"Online financial service companies are filling a gap, especially as companies have altered how they work.",https://www.nytimes.com/2020/06/10/business/economy/fintechs-loan-small-business.html?searchResultPosition=52
"Let’s Change Our Motto to ‘Out of Many, We’",June 9,OPINION,"It is heading toward “Out of Many, None,” and I fear it becoming “Out of Many, Me.”",https://www.nytimes.com/2020/06/09/opinion/trump-united-states.html?searchResultPosition=53
‘I Refuse Not to Be Heard’: Georgia in Uproar Over Voting Meltdown,June 9,POLITICS,"Long lines and malfunctioning voting machines marred statewide primary elections in Georgia, renewing attention on voting rights there.",https://www.nytimes.com/2020/06/09/us/politics/atlanta-voting-georgia-primary.html?searchResultPosition=54
Major Problems With Voting in Atlanta as 5 States Hold Primaries,June 9,POLITICS,"Some voting machines were not working as polls opened, and voters across Georgia reported long lines and widespread frustration. Nevada, North Dakota, South Carolina and West Virginia are also voting today.",https://www.nytimes.com/2020/06/09/us/politics/georgia-primary-voting-atlanta.html?searchResultPosition=55
Surging Coronavirus Cases Push Latin America ‘to the Limit’,June 9,WORLD,"The U.S. caseload, already the world’s highest, is approaching two million. A book about the fall of France in 1940 has become a hit during the pandemic.",https://www.nytimes.com/2020/06/09/world/coronavirus-us-usa.html?searchResultPosition=56
"Senate Moves Toward Preserving Public Lands, and Political Careers",June 8,POLITICS,"Despite some resistance within their ranks, Republicans are pushing a popular public lands bill that could help endangered colleagues, with an eye toward protecting their majority in November.",https://www.nytimes.com/2020/06/08/us/politics/senate-public-lands.html?searchResultPosition=57
Global Coronavirus Caseload Passes 7 Million,June 8,WORLD,"The W.H.O. warned that the pandemic appeared to be worsening, and said that asymptomatic transmission was not a significant factor in how the virus spreads. China is using Twitter to drown out criticism during the pandemic.",https://www.nytimes.com/2020/06/08/world/coronavirus-live-updates.html?searchResultPosition=58
Returning to Work on the Subway? Here’s What You Need to Know,June 8,NEW YORK,"As riders prepare to start riding the trains again during New York City’s initial reopening, the safety of public transit is a big question.",https://www.nytimes.com/2020/06/08/nyregion/mta-subway-riding-health-coronavirus.html?searchResultPosition=59
Don’t Lose the Thread. The Economy Is Experiencing an Epic Collapse of Demand.,June 6,THE UPSHOT,"A rip in the fabric of the economy won’t be healed easily, and denial of the severity of the crisis won’t solve it.",https://www.nytimes.com/2020/06/06/upshot/coronavirus-economic-crisis.html?searchResultPosition=60
